Naam;Houdbaarheid;Kleur;Inhoud;Dop/Deksel;;
Sambal;09-10-2020;Rood;100g;Deksel;;
Kokos olie;07-07-2021;Wit;320ml;Deksel;;
Spa rood;-;Transparant;1500ml;Dop;;
Pizza Quick;01-05-2021;Rood;350ml;Deksel;;
Boter 1;01-02-2021;Geel;250g;-;;
Boter 2;01-09-2020;Geel;250g;-;;
Blauwe kaas;17-01-2021;Wit;125g;Deksel;;
Ginger beer;01-02-2021;Bruin;1000ml;Dop;;
Cola;07-01-2021;Zwart;2000ml;Dop;;
Melk;10-09-2020;Wit;2000ml;Dop;;
Roomboter;10-10-2020;Geel;250g;-;;
Pesto;05-05-2023;Groen;190g;Deksel;;
Kaas;14-12-2020;Geel;545g;-;;
Kaas;14-12-2020;Geel;545g;-;;
Smeerkaas;14-08-2020;Geel;200g;Deksel;;
Smeerkaas;29-04-2021;Geel;100g;Deksel;;
Castlerib;23-09-2020;Rood;150g;-;;
Salami;28-10-2020;Rood;150g;-;;
F mosterd;06-02-2021;Groen;235g;Deksel;;
H mosterd;04-03-2021;Groen;235g;Deksel;;
Z mosterd;01-01-2021;Groen;335g;Deksel;;
Water;-;Transparant;500ml;Dop;;
D mosterd;01-01-2021;Groen;265ml;Dop;;
Jam;03-04-2022;Rood;370g;Deksel;;
Ricotta;20-09-2020;Wit;250g;Deksel;;
Augurken;31-12-2022;Groen;360g;Deksel;;
Calve Schaslik;12-04-2021;Rood;250ml;Deksel;;
Calve Steak;20-05-2021;Rood;250ml;Deksel;;
Calve Samba;23-10-2020;Oranje;250ml;Deksel;;
Franse mayo;24-08-2017;Geel;470g;Deksel;;
BBq saus;06-02-2020;Bruin;470g;Deksel;;
Piccalilly;15-12-2021;Geel;360g;Deksel;;
Piccalilly;18-06-2021;Geel;400g;Deksel;;
Appelmoes;12-11-2022;Geel;720g;Deksel;;
Kebab saus;01-04-2021;Wit;230g;Dop;;
Knoflook saus;01-07-2021;Wit;300ml;Dop;;
Brie;20-09-2020;Geel;200g;-;;
Emmertaler;20-09-2020;Geel;250g;-;;
Emmertaler;13-10-2020;Geel;250g;-;;
Pepers;01-02-2023;Groen;295g;Deksel;;
Jam;04-04-2022;Paars;370g;Deksel;;
Kruidenboter;10-09-2020;Wit;100g;Deksel;;
Appelsap;06-07-2020;Groen;1000ml;Dop;;
Ham;16-09-2020;Rood;160g;-;;
Yoghurt;28-09-2020;Wit;1000g;Deksel;;
Mayo;01-01-2021;Wit;650g;Deksel;;
Blauw kaas;05-09-2020;Wit;212g;-;;
YoFresh;20-06-2021;Wit;650ml;Deksel;;
Broccoli;-;Groen;500g;-;;
Broccoli;-;Groen;500g;-;;
Aoili;29-11-2020;Geel;180ml;Deksel;;
Aoili;29-11-2020;Geel;180ml;Deksel;;
Spinazi;-;Groen;450g;-;;
Paprika;- ;Rood;1000g;-;;
Wortel;- ;Oranje;1000g;-;;
