Substantie;Vet per 100;Calorieën per 100;Zuivel
Vloeibaar;0;48;-
Vloeibaar;0;0;-
Vloeibaar;0;1;-
Vloeibaar;1,5;46;Ja
Vast;100;889;-
Vloeibaar;35,9;365;-
Vloeibaar;3,2;130;-
Vast;97;875;Ja
Vast;79;695;Ja
Vast;83;753;Ja
Vloeibaar;1,7;48;-
Vast;29;341;Ja
Vast;37;400;-
Vast;5;115;-
Vast;30;360;Ja
Vast;30;360;Ja
Vloeibaar;82;746;-
Vloeibaar;21,5;257;Ja
Vloeibaar;9,4;176;Ja
Vloeibaar;0;0;-
Vloeibaar;5,7;112;-
Vloeibaar;4,8;178;-
Vloeibaar;9;130;-
Vloeibaar;17;400;-
Vloeibaar;7;105;-
Vloeibaar;0,1;33;-
Vast;0,5;253;-
Vloeibaar;0;64;-
Vloeibaar;26;285;-
Vloeibaar;0,7;66;-
Vloeibaar;30;329;-
Vloeibaar;0,8;184;-
Vloeibaar;22;270;-
Vloeibaar;1,5;87;-
Vloeibaar;70;640;-
Vloeibaar;1,5;102;-
Vloeibaar;0,5;101;-
Vast;29;377;Ja
Vast;31;351;Ja
Vast;29;377;Ja
Vast;0,9;39;-
Vloeibaar;0,4;243;-
Vloeibaar;82;746;-
Vast;62,4;575;Ja
Vloeibaar;0;44;-
Vast;4,2;124;-
Vast;28;340;Ja
Vloeibaar;26;288;Ja
Vloeibaar;80;740;-
Vloeibaar;10;120;Ja
Vast;0,3;15;-
Vast;0,2;29;-
Vast;0,2;29;-
Vast;0,3;34;-
Vast;0,1;24;-
